layer	latent	clinical_exp	model
12	1948	"""Quantitative values or measurements, often with units or context implying a specific quantity."""	2B
12	1949	"""The concept of a glass as a container for beverages."""	2B
12	195	"""Medical procedures, interventions, or treatments."""	2B
12	1950	"""The presence of the \""Ch\"" sound or the \""Cho\"" or \""Chol\"" prefix, often related to medical terms, particularly those associated with the gallbladder or cholesterol."""	2B
12	1951	"""The second-person singular pronoun \""You\""."""	2B
12	1952	"""Lymph nodes, particularly in the context of cancer diagnosis or pathology."""	2B
12	1953	"""Empty delimiters << >> are associated with high activation levels, suggesting that the model is responding to the presence of the delimiters themselves, rather than the text they contain."""	2B
12	1954	"""Comparative language describing changes in symptoms or conditions."""	2B
12	1955	"""Words indicating correctness, uncertainty, or absence of information, often related to medical context or decision-making."""	2B
12	1956	"""End-of-life care or death-related concepts, including funeral and hospice services, with lower activation levels for less direct or less specific mentions."""	2B
12	1957	"""The activation levels are higher for tokens that are part of a medical diagnosis, procedure, or impression, particularly when they are part of a numbered list or a formal medical statement."""	2B
12	1958	"""The model is activated by mentions of a patient's or individual's religious or spiritual beliefs, practices, or affiliations."""	2B
12	1959	"""The second-person singular pronoun \""you\"" is consistently activated when it is used in a directive or advisory context, typically in medical instructions or guidance."""	2B
12	196	"""Prepositions and words that immediately follow or precede them, often indicating a transition or relationship between entities or locations."""	2B
12	1960	"""The presence of a blank token within the delimiters << >> or a single digit \""1\"" within the delimiters <<1>> indicates a high activation level, suggesting that the model is responding to a specific formatting or notation pattern, possibly related to medical prescriptions, lab work, or other structured data."""	2B
12	1961	"""The model is activated by tokens that are part of a numerical range or threshold, often related to blood glucose levels and corresponding insulin dosages, with the exception of the last snippet where the activation is related to a specific day of the week."""	2B
12	1962	"""Denials or negations of symptoms, conditions, or experiences."""	2B
12	1963	"""Medication names or components of medication names."""	2B
12	1964	"""Time specifications, particularly the \""at\"" symbol preceding a time value."""	2B
12	1965	"""The digit \""1\"" is consistently activated when it appears as part of a medication dosage or quantity, often in the format \""10\"" or \""1\"" followed by a unit of measurement or a medication name."""	2B
12	1966	"""Geographic locations, particularly US states, specifically Massachusetts and New Jersey."""	2B
12	1967	"""Actions taken or decisions made in response to a patient's condition or test results."""	2B
12	1968	"""The model is activated by symbols and abbreviations commonly used in medical notation, particularly those indicating laboratory values, medication names, and chemical symbols."""	2B
12	1969	"""The model is activated by phrases or words that indicate a patient's statement, report, or claim, often introduced by verbs like \""states\"", \""reports\"", \""claims\"", or \""describes\"", as well as phrases that provide additional context or information about the patient's condition or medical history."""	2B
12	197	"""Abbreviations for medical terms or units."""	2B
12	1970	"""The token \""different\"" is activated when it is used to compare or contrast two distinct entities, conditions, or sensations, often to highlight a distinction or a change from a previous state or expectation."""	2B
12	1971	"""The model is activated by medical abbreviations, names, and specific medical terms, but also by the word \""remained\"" when it appears in a medical context."""	2B
